City,Date,CO
Ahmedabad,2015-06-18,7.59
Ahmedabad,2015-06-19,7.34
Ahmedabad,2015-06-20,7.55
Ahmedabad,2015-06-21,7.15
Ahmedabad,2015-06-22,7.99
Ahmedabad,2015-06-23,7.45
Ahmedabad,2015-06-24,7.34
Ahmedabad,2015-06-25,8.68
Ahmedabad,2015-06-26,8.58
Ahmedabad,2015-06-27,9.15
Ahmedabad,2015-06-28,8.07
Ahmedabad,2015-06-29,9.23
Ahmedabad,2015-06-30,8.87
Ahmedabad,2015-07-01,9.01
Ahmedabad,2015-07-02,9.56
Ahmedabad,2015-07-03,9.43
Ahmedabad,2015-07-04,8.03
Ahmedabad,2015-07-05,8.11
Ahmedabad,2015-07-06,8.91
Ahmedabad,2015-07-07,9.74
Ahmedabad,2015-07-08,10.55
Ahmedabad,2015-07-09,11.48
Ahmedabad,2015-07-10,11.55
Ahmedabad,2015-07-11,11.49
Ahmedabad,2015-07-12,11.47
Ahmedabad,2015-07-13,11.3
Ahmedabad,2015-07-14,10.8
Ahmedabad,2015-07-15,8.0
Ahmedabad,2015-07-16,0.64
Ahmedabad,2015-07-17,0.6
Ahmedabad,2015-07-18,0.65
Ahmedabad,2015-07-19,0.72
Ahmedabad,2015-07-20,0.55
Ahmedabad,2015-07-21,0.67
Ahmedabad,2015-07-22,0.55
Ahmedabad,2015-07-23,0.1
Ahmedabad,2015-07-24,0.06
Ahmedabad,2015-07-25,0.14
Ahmedabad,2015-07-26,0.18
Ahmedabad,2015-07-27,1.52
Ahmedabad,2015-07-28,5.89
Ahmedabad,2015-07-29,5.75
Ahmedabad,2015-07-30,7.01
Ahmedabad,2015-07-31,6.92
Ahmedabad,2015-08-01,6.74
Ahmedabad,2015-08-02,6.91
Ahmedabad,2015-08-03,7.21
Ahmedabad,2015-08-04,6.69
Ahmedabad,2015-08-05,6.99
Ahmedabad,2015-08-06,7.17
Ahmedabad,2015-08-07,7.14
Ahmedabad,2015-08-08,7.22
Ahmedabad,2015-08-09,7.4
Ahmedabad,2015-08-10,7.35
Ahmedabad,2015-08-11,7.48
Ahmedabad,2015-08-12,7.47
Ahmedabad,2015-08-13,7.49
Ahmedabad,2015-08-14,7.57
Ahmedabad,2015-08-15,7.3
Ahmedabad,2015-08-16,7.35
Ahmedabad,2015-08-17,7.41
Ahmedabad,2015-08-18,7.31
Ahmedabad,2015-08-19,7.41
Ahmedabad,2015-08-20,12.38
Ahmedabad,2015-08-21,17.31
Ahmedabad,2015-08-22,17.24
Ahmedabad,2015-08-23,17.17
Ahmedabad,2015-08-24,17.12
Ahmedabad,2015-08-25,17.08
Ahmedabad,2015-08-26,17.11
Ahmedabad,2015-08-27,17.01
Ahmedabad,2015-08-28,17.07
Ahmedabad,2015-08-29,16.98
Ahmedabad,2015-08-30,17.04
Ahmedabad,2015-08-31,17.05
Ahmedabad,2015-09-01,17.03
Ahmedabad,2015-09-02,17.01
Ahmedabad,2015-09-03,17.04
Ahmedabad,2015-09-04,16.97
Ahmedabad,2015-09-05,16.97
Ahmedabad,2015-09-06,16.95
Ahmedabad,2015-09-07,16.94
Ahmedabad,2015-09-08,17.0
Ahmedabad,2015-09-09,16.31
Ahmedabad,2015-09-10,9.46
Ahmedabad,2015-09-11,8.68
Ahmedabad,2015-09-12,7.14
Ahmedabad,2015-09-13,6.82
Ahmedabad,2015-09-14,8.43
Ahmedabad,2015-09-15,7.14
Ahmedabad,2015-09-16,6.61
Ahmedabad,2015-09-17,6.5
Ahmedabad,2015-09-18,7.68
Ahmedabad,2015-09-19,8.45
Ahmedabad,2015-09-20,
Ahmedabad,2015-09-21,9.95
Ahmedabad,2015-09-22,9.21
Ahmedabad,2015-09-23,10.61
Ahmedabad,2015-09-24,9.26
Ahmedabad,2015-09-25,8.69
Ahmedabad,2015-09-26,9.05
Ahmedabad,2015-09-27,11.26
Ahmedabad,2015-09-28,16.31
Ahmedabad,2015-09-29,10.33
Ahmedabad,2015-09-30,8.85
Ahmedabad,2015-10-01,17.96
Ahmedabad,2015-10-02,33.31
Ahmedabad,2015-10-03,11.14
Ahmedabad,2015-10-04,7.83
Ahmedabad,2015-10-05,20.16
Ahmedabad,2015-10-06,15.83
Ahmedabad,2015-10-07,18.21
Ahmedabad,2015-10-08,27.14
Ahmedabad,2015-10-09,15.9
Ahmedabad,2015-10-10,5.42
Ahmedabad,2015-10-11,5.19
Ahmedabad,2015-10-12,10.38
Ahmedabad,2015-10-13,20.2
Ahmedabad,2015-10-14,18.12
Ahmedabad,2015-10-15,17.03
Ahmedabad,2015-10-16,17.72
Ahmedabad,2015-10-17,20.61
Ahmedabad,2015-10-18,52.33
Ahmedabad,2015-10-19,15.49
Ahmedabad,2015-10-20,23.03
Ahmedabad,2015-10-21,12.92
Ahmedabad,2015-10-22,4.79
Ahmedabad,2015-10-23,10.58
Ahmedabad,2015-10-24,32.27
Ahmedabad,2015-10-25,34.64
Ahmedabad,2015-10-26,145.32
Ahmedabad,2015-10-27,38.09
Ahmedabad,2015-10-28,5.42
Ahmedabad,2015-10-29,1.89
Ahmedabad,2015-10-30,2.31
Ahmedabad,2015-10-31,1.22
Ahmedabad,2015-11-01,
Ahmedabad,2015-11-02,75.42
Ahmedabad,2015-11-03,33.06
Ahmedabad,2015-11-04,57.37
Ahmedabad,2015-11-05,28.41
Ahmedabad,2015-11-06,39.61
Ahmedabad,2015-11-07,9.39
Ahmedabad,2015-11-08,6.74
Ahmedabad,2015-11-09,
Ahmedabad,2015-11-10,
Ahmedabad,2015-11-11,
Ahmedabad,2015-11-12,
Ahmedabad,2015-11-13,
Ahmedabad,2015-11-14,
Ahmedabad,2015-11-15,
Ahmedabad,2015-11-16,
Ahmedabad,2015-11-17,
Ahmedabad,2015-11-18,
Ahmedabad,2015-11-19,
Ahmedabad,2015-11-20,
Ahmedabad,2015-11-21,
Ahmedabad,2015-11-22,
Ahmedabad,2015-11-23,
Ahmedabad,2015-11-24,
Ahmedabad,2015-11-25,
Ahmedabad,2015-11-26,
Ahmedabad,2015-11-27,
Ahmedabad,2015-11-28,
Ahmedabad,2015-11-29,
Ahmedabad,2015-11-30,
Ahmedabad,2015-12-01,
Ahmedabad,2015-12-02,
Ahmedabad,2015-12-03,
Ahmedabad,2015-12-04,
Ahmedabad,2015-12-05,
Ahmedabad,2015-12-06,
Ahmedabad,2015-12-07,
Ahmedabad,2015-12-08,
Ahmedabad,2015-12-09,
Ahmedabad,2015-12-10,
Ahmedabad,2015-12-11,
Ahmedabad,2015-12-12,
Ahmedabad,2015-12-13,
Ahmedabad,2015-12-14,
Ahmedabad,2015-12-15,
Ahmedabad,2015-12-16,
Ahmedabad,2015-12-17,
Ahmedabad,2015-12-18,
Ahmedabad,2015-12-19,
Ahmedabad,2015-12-20,
Ahmedabad,2015-12-21,
Ahmedabad,2015-12-22,
Ahmedabad,2015-12-23,
Ahmedabad,2015-12-24,
Ahmedabad,2015-12-25,
Ahmedabad,2015-12-26,
Ahmedabad,2015-12-27,
Ahmedabad,2015-12-28,
Ahmedabad,2015-12-29,
Ahmedabad,2015-12-30,
Ahmedabad,2015-12-31,
Ahmedabad,2016-01-01,
Ahmedabad,2016-01-02,
Ahmedabad,2016-01-03,
Ahmedabad,2016-01-04,
Ahmedabad,2016-01-05,
Ahmedabad,2016-01-06,
Ahmedabad,2016-01-07,
Ahmedabad,2016-01-08,
Ahmedabad,2016-01-09,
Ahmedabad,2016-01-10,
Ahmedabad,2016-01-11,
Ahmedabad,2016-01-12,
Ahmedabad,2016-01-13,
Ahmedabad,2016-01-14,
Ahmedabad,2016-01-15,
Ahmedabad,2016-01-16,
Ahmedabad,2016-01-17,
Ahmedabad,2016-01-18,
Ahmedabad,2016-01-19,
Ahmedabad,2016-01-20,
Ahmedabad,2016-01-21,
Ahmedabad,2016-01-22,
Ahmedabad,2016-01-23,
Ahmedabad,2016-01-24,
Ahmedabad,2016-01-25,
Ahmedabad,2016-01-26,
Ahmedabad,2016-01-27,
Ahmedabad,2016-01-28,
Ahmedabad,2016-01-29,
Ahmedabad,2016-01-30,
Ahmedabad,2016-01-31,
Ahmedabad,2016-02-01,
Ahmedabad,2016-02-02,
Ahmedabad,2016-02-03,
Ahmedabad,2016-02-04,
Ahmedabad,2016-02-05,
Ahmedabad,2016-02-06,
Ahmedabad,2016-02-07,
Ahmedabad,2016-02-08,
Ahmedabad,2016-02-09,
Ahmedabad,2016-02-10,
Ahmedabad,2016-02-11,
Ahmedabad,2016-02-12,
Ahmedabad,2016-02-13,
Ahmedabad,2016-02-14,
Ahmedabad,2016-02-15,
Ahmedabad,2016-02-16,
Ahmedabad,2016-02-17,
Ahmedabad,2016-02-18,
Ahmedabad,2016-02-19,
Ahmedabad,2016-02-20,
Ahmedabad,2016-02-21,
Ahmedabad,2016-02-22,
Ahmedabad,2016-02-23,
Ahmedabad,2016-02-24,
Ahmedabad,2016-02-25,
Ahmedabad,2016-02-26,
Ahmedabad,2016-02-27,
Ahmedabad,2016-02-28,
Ahmedabad,2016-02-29,
Ahmedabad,2016-03-01,
Ahmedabad,2016-03-02,
Ahmedabad,2016-03-03,
Ahmedabad,2016-03-04,
Ahmedabad,2016-03-05,
Ahmedabad,2016-03-06,
Ahmedabad,2016-03-07,
Ahmedabad,2016-03-08,
Ahmedabad,2016-03-09,
Ahmedabad,2016-03-10,
Ahmedabad,2016-03-11,
Ahmedabad,2016-03-12,
Ahmedabad,2016-03-13,
Ahmedabad,2016-03-14,
Ahmedabad,2016-03-15,
Ahmedabad,2016-03-16,
Ahmedabad,2016-03-17,
Ahmedabad,2016-03-18,
Ahmedabad,2016-03-19,
Ahmedabad,2016-03-20,
Ahmedabad,2016-03-21,
Ahmedabad,2016-03-22,
Ahmedabad,2016-03-23,
Ahmedabad,2016-03-24,
Ahmedabad,2016-03-25,
Ahmedabad,2016-03-26,
Ahmedabad,2016-03-27,
Ahmedabad,2016-03-28,
Ahmedabad,2016-03-29,
Ahmedabad,2016-03-30,
Ahmedabad,2016-03-31,
Ahmedabad,2016-04-01,
Ahmedabad,2016-04-02,
Ahmedabad,2016-04-03,
Ahmedabad,2016-04-04,
Ahmedabad,2016-04-05,
Ahmedabad,2016-04-06,
Ahmedabad,2016-04-07,
Ahmedabad,2016-04-08,
Ahmedabad,2016-04-09,
Ahmedabad,2016-04-10,
Ahmedabad,2016-04-11,
Ahmedabad,2016-04-12,
Ahmedabad,2016-04-13,
Ahmedabad,2016-04-14,
Ahmedabad,2016-04-15,
Ahmedabad,2016-04-16,
Ahmedabad,2016-04-17,
Ahmedabad,2016-04-18,
Ahmedabad,2016-04-19,
Ahmedabad,2016-04-20,
Ahmedabad,2016-04-21,
Ahmedabad,2016-04-22,
Ahmedabad,2016-04-23,
Ahmedabad,2016-04-24,
Ahmedabad,2016-04-25,
Ahmedabad,2016-04-26,
Ahmedabad,2016-04-27,
Ahmedabad,2016-04-28,
Ahmedabad,2016-04-29,
Ahmedabad,2016-04-30,
Ahmedabad,2016-05-01,
Ahmedabad,2016-05-02,
Ahmedabad,2016-05-03,
Ahmedabad,2016-05-04,
Ahmedabad,2016-05-05,
Ahmedabad,2016-05-06,
Ahmedabad,2016-05-07,
Ahmedabad,2016-05-08,
Ahmedabad,2016-05-09,
Ahmedabad,2016-05-10,
Ahmedabad,2016-05-11,
Ahmedabad,2016-05-12,
Ahmedabad,2016-05-13,
Ahmedabad,2016-05-14,
Ahmedabad,2016-05-15,
Ahmedabad,2016-05-16,
Ahmedabad,2016-05-17,
Ahmedabad,2016-05-18,
Ahmedabad,2016-05-19,
Ahmedabad,2016-05-20,
Ahmedabad,2016-05-21,
Ahmedabad,2016-05-22,
Ahmedabad,2016-05-23,
Ahmedabad,2016-05-24,
Ahmedabad,2016-05-25,
Ahmedabad,2016-05-26,
Ahmedabad,2016-05-27,
Ahmedabad,2016-05-28,
Ahmedabad,2016-05-29,
Ahmedabad,2016-05-30,
Ahmedabad,2016-05-31,
Ahmedabad,2016-06-01,
Ahmedabad,2016-06-02,
Ahmedabad,2016-06-03,
Ahmedabad,2016-06-04,
Ahmedabad,2016-06-05,
Ahmedabad,2016-06-06,
Ahmedabad,2016-06-07,
Ahmedabad,2016-06-08,
Ahmedabad,2016-06-09,
Ahmedabad,2016-06-10,
Ahmedabad,2016-06-11,
Ahmedabad,2016-06-12,
Ahmedabad,2016-06-13,
Ahmedabad,2016-06-14,
Ahmedabad,2016-06-15,
Ahmedabad,2016-06-16,
Ahmedabad,2016-06-17,
Ahmedabad,2016-06-18,
Ahmedabad,2016-06-19,
Ahmedabad,2016-06-20,
Ahmedabad,2016-06-21,
Ahmedabad,2016-06-22,
Ahmedabad,2016-06-23,
Ahmedabad,2016-06-24,
Ahmedabad,2016-06-25,
Ahmedabad,2016-06-26,
Ahmedabad,2016-06-27,11.69
Ahmedabad,2016-06-28,9.81
Ahmedabad,2016-06-29,10.45
Ahmedabad,2016-06-30,10.41
Ahmedabad,2016-07-01,9.39
Ahmedabad,2016-07-02,9.04
Ahmedabad,2016-07-03,8.36
Ahmedabad,2016-07-04,8.68
Ahmedabad,2016-07-05,8.11
Ahmedabad,2016-07-06,7.38
Ahmedabad,2016-07-07,7.5
Ahmedabad,2016-07-08,7.3
Ahmedabad,2016-07-09,7.05
Ahmedabad,2016-07-10,6.7
Ahmedabad,2016-07-11,7.7
Ahmedabad,2016-07-12,
Ahmedabad,2016-07-13,24.46
Ahmedabad,2016-07-14,46.51
Ahmedabad,2016-07-15,0.98
Ahmedabad,2016-07-16,4.09
Ahmedabad,2016-07-17,6.02
Ahmedabad,2016-07-18,4.92
Ahmedabad,2016-07-19,100.77
Ahmedabad,2016-07-20,1.67
Ahmedabad,2016-07-21,1.94
Ahmedabad,2016-07-22,2.57
Ahmedabad,2016-07-23,1.64
Ahmedabad,2016-07-24,6.67
Ahmedabad,2016-07-25,8.85
Ahmedabad,2016-07-26,3.87
Ahmedabad,2016-07-27,18.76
Ahmedabad,2016-07-28,26.51
Ahmedabad,2016-07-29,86.72
Ahmedabad,2016-07-30,84.21
Ahmedabad,2016-07-31,72.58
Ahmedabad,2016-08-01,79.53
Ahmedabad,2016-08-02,83.72
Ahmedabad,2016-08-03,89.85
Ahmedabad,2016-08-04,10.63
Ahmedabad,2016-08-05,5.06
Ahmedabad,2016-08-06,
Ahmedabad,2016-08-07,2.77
Ahmedabad,2016-08-08,9.72
Ahmedabad,2016-08-09,6.96
Ahmedabad,2016-08-10,10.41
Ahmedabad,2016-08-11,12.59
Ahmedabad,2016-08-12,13.53
Ahmedabad,2016-08-13,8.64
Ahmedabad,2016-08-14,8.14
Ahmedabad,2016-08-15,8.38
Ahmedabad,2016-08-16,15.47
Ahmedabad,2016-08-17,7.66
Ahmedabad,2016-08-18,6.39
Ahmedabad,2016-08-19,6.08
Ahmedabad,2016-08-20,12.0
Ahmedabad,2016-08-21,10.91
Ahmedabad,2016-08-22,8.82
Ahmedabad,2016-08-23,7.42
Ahmedabad,2016-08-24,8.91
Ahmedabad,2016-08-25,9.15
Ahmedabad,2016-08-26,10.05
Ahmedabad,2016-08-27,10.51
Ahmedabad,2016-08-28,9.72
Ahmedabad,2016-08-29,10.79
Ahmedabad,2016-08-30,10.08
Ahmedabad,2016-08-31,10.47
Ahmedabad,2016-09-01,9.36
Ahmedabad,2016-09-02,9.63
Ahmedabad,2016-09-03,9.38
Ahmedabad,2016-09-04,9.59
Ahmedabad,2016-09-05,10.14
Ahmedabad,2016-09-06,10.17
Ahmedabad,2016-09-07,10.7
Ahmedabad,2016-09-08,9.91
Ahmedabad,2016-09-09,9.75
Ahmedabad,2016-09-10,9.5
Ahmedabad,2016-09-11,7.3
Ahmedabad,2016-09-12,9.52
Ahmedabad,2016-09-13,10.07
Ahmedabad,2016-09-14,11.17
Ahmedabad,2016-09-15,13.68
Ahmedabad,2016-09-16,10.01
Ahmedabad,2016-09-17,9.75
Ahmedabad,2016-09-18,
Ahmedabad,2016-09-19,
Ahmedabad,2016-09-20,
Ahmedabad,2016-09-21,10.17
Ahmedabad,2016-09-22,12.67
Ahmedabad,2016-09-23,11.31
Ahmedabad,2016-09-24,9.8
Ahmedabad,2016-09-25,9.66
Ahmedabad,2016-09-26,9.82
Ahmedabad,2016-09-27,9.5
Ahmedabad,2016-09-28,10.63
Ahmedabad,2016-09-29,10.36
Ahmedabad,2016-09-30,10.2
Ahmedabad,2016-10-01,12.02
Ahmedabad,2016-10-02,10.75
Ahmedabad,2016-10-03,11.23
Ahmedabad,2016-10-04,
Ahmedabad,2016-10-05,16.49
Ahmedabad,2016-10-06,14.78
Ahmedabad,2016-10-07,14.48
Ahmedabad,2016-10-08,13.2
Ahmedabad,2016-10-09,11.74
Ahmedabad,2016-10-10,11.25
Ahmedabad,2016-10-11,10.91
Ahmedabad,2016-10-12,11.07
Ahmedabad,2016-10-13,11.09
Ahmedabad,2016-10-14,10.27
Ahmedabad,2016-10-15,16.66
Ahmedabad,2016-10-16,20.67
Ahmedabad,2016-10-17,18.56
Ahmedabad,2016-10-18,10.15
Ahmedabad,2016-10-19,7.8
Ahmedabad,2016-10-20,12.23
Ahmedabad,2016-10-21,9.38
Ahmedabad,2016-10-22,9.03
Ahmedabad,2016-10-23,6.95
Ahmedabad,2016-10-24,7.04
Ahmedabad,2016-10-25,7.31
Ahmedabad,2016-10-26,11.05
Ahmedabad,2016-10-27,18.84
Ahmedabad,2016-10-28,19.66
Ahmedabad,2016-10-29,29.49
Ahmedabad,2016-10-30,26.06
Ahmedabad,2016-10-31,16.39
Ahmedabad,2016-11-01,12.95
Ahmedabad,2016-11-02,11.74
Ahmedabad,2016-11-03,10.97
Ahmedabad,2016-11-04,7.51
Ahmedabad,2016-11-05,
Ahmedabad,2016-11-06,
Ahmedabad,2016-11-07,
Ahmedabad,2016-11-08,
Ahmedabad,2016-11-09,
Ahmedabad,2016-11-10,
Ahmedabad,2016-11-11,
